instrument,quantity,signal,entry_price,exit_price,stop_loss,target_price,pnl_points,pnl_amount,result,entry_time,exit_time
NIFTY,65,BUY,9502.75,9504.65,9485.214836115249,9529.052745827128,1.8999999999996362,123.49999999997635,MACD EXIT,2020-04-29 12:50:00,2020-04-29 13:15:00
NIFTY,65,BUY,9532.9,9589.98675213904,9494.84216524064,9589.98675213904,57.08675213904098,3710.638889037664,WIN,2020-04-29 14:15:00,2020-04-29 14:45:00
NIFTY,65,BUY,9391.6,9347.8,9294.543570458205,9537.184644312692,-43.80000000000109,-2847.000000000071,MACD EXIT,2020-05-05 09:25:00,2020-05-05 10:10:00
NIFTY,65,BUY,9375.1,9338.8,9314.813293248002,9465.530060127998,-36.30000000000109,-2359.500000000071,EMA EXIT,2020-05-05 13:05:00,2020-05-05 14:05:00
NIFTY,65,BUY,9282.05,9291.1,9128.339913599999,9512.615129599999,9.050000000001091,588.2500000000709,MACD EXIT,2020-05-06 10:10:00,2020-05-06 11:40:00
NIFTY,65,BUY,9316.5,9315.95,9275.260031999998,9378.359952000003,-0.5499999999992724,-35.749999999952706,MACD EXIT,2020-05-06 12:15:00,2020-05-06 12:20:00
NIFTY,65,BUY,9231.3,9187.823,9187.823,9296.515499999998,-43.47699999999895,-2826.004999999932,LOSS,2020-05-07 13:10:00,2020-05-07 13:40:00
NIFTY,65,BUY,9328.35,9309.55,9199.725455198388,9521.28681720242,-18.80000000000109,-1222.000000000071,MACD EXIT,2020-05-08 09:25:00,2020-05-08 10:15:00
NIFTY,65,BUY,9335.15,9320.3,9300.753999999999,9386.744,-14.850000000000364,-965.2500000000236,MACD EXIT,2020-05-08 13:15:00,2020-05-08 13:30:00
NIFTY,65,BUY,9375.35,9371.0,9253.97391008,9557.41413488,-4.350000000000364,-282.75000000002365,MACD EXIT,2020-05-11 09:25:00,2020-05-11 10:20:00
NIFTY,65,BUY,9344.65,9327.45,9312.1,9393.474999999999,-17.19999999999891,-1117.999999999929,EMA EXIT,2020-05-11 12:50:00,2020-05-11 13:50:00
NIFTY,65,BUY,9116.3,9075.0,9063.772607977531,9195.091088033701,-41.29999999999927,-2684.4999999999527,EMA EXIT,2020-05-12 13:00:00,2020-05-12 13:40:00
NIFTY,65,BUY,9110.65,9164.977,9074.431999999999,9164.977,54.327000000001135,3531.255000000074,WIN,2020-05-12 14:05:00,2020-05-12 14:15:00
NIFTY,65,BUY,9174.65,9179.0,9083.888990528,9310.791514208,4.350000000000364,282.75000000002365,TIME EXIT,2020-05-12 14:20:00,2020-05-12 15:10:00
NIFTY,65,BUY,9418.1,9373.4,9184.433500000001,9768.59975,-44.70000000000073,-2905.5000000000473,MACD EXIT,2020-05-13 09:25:00,2020-05-13 10:00:00
NIFTY,65,BUY,9408.7,9387.8,9353.3,9491.800000000003,-20.900000000001455,-1358.5000000000946,EMA EXIT,2020-05-13 13:45:00,2020-05-13 14:20:00
NIFTY,65,BUY,9231.25,9203.135228032352,9203.135228032352,9273.422157951472,-28.114771967648267,-1827.4601778971373,LOSS,2020-05-14 13:05:00,2020-05-14 13:20:00
NIFTY,65,BUY,9083.0,9125.209010630539,9054.860659579641,9125.209010630539,42.209010630538614,2743.58569098501,WIN,2020-05-15 12:25:00,2020-05-15 13:50:00
NIFTY,65,BUY,9151.85,9134.9,9092.862174773134,9240.3317378403,-16.950000000000728,-1101.7500000000473,MACD EXIT,2020-05-15 14:15:00,2020-05-15 15:00:00
